id,store_name,store_num,address,store_phone,manager_name,manager_phone,contact_person,contact_phone,store_email,notes,pricing_category,last_visit_date,latitude,longitude
,Glen Avon Hockey Club,,"2405 Woodland Ave, Duluth, MN 55803, USA",,,,,,,They will email Billy orders,,,46.834561165794895,-92.07438920452424
,Nemadji Golf Course,,"5 N 58th St, Superior, WI 54880, USA",715 394-0266,Ryan Ozan,7153940266,,,rozan@kempersports,"They will text you with orders, but wise for you to text them early in the week so they don't ask you on Friday if you can come on the weekend. Be proactive with them and get an order from them in advance. They have virtual golf in the winter, so you will deliver year-round to them. Ryan is manager, but there is also a Brian 218-380-5935. Try Brian if Ryan doesn't respond. Talk to folks at the bar and they'll take the pizzas from you when delivering. Get signature and print an invoice and leave it at the bar.",,,46.6758033,-92.07457999378252
,Piedmont Milk House,,"2703 Piedmont Ave, Duluth, MN 55811, USA",,,2187229665,,,,"We no longer deliver to Piedmont, don't need to go there.",,,46.781410449999996,-92.15902514100947
,Pike Lake Golf Course,,"4895 Midway Rd, Duluth, MN 55811, USA",,Reinee (owner),218 391-3293,Samantha,218-393-0424,,"Samantha should text you with order, but she doesn't. She always texts Billy and then Billy will text you later. Swing by every few weeks to check in with them when you have time. They store pizza in building north of the bar/restaurant in big walk in freezer, need to get key from bartender at the clubhouse, might need to call Samantha and ask if they need pizza - while in freezer looking at what they got. Pike Lake Golf Course phone is: 218-590-3325",,,46.86517375441101,-92.28050238712521
,Powerhouse Bar,,"423 3rd Ave, Proctor, MN 55810, USA",,,,,,,"Get Check!!! Go every 2 weeks or even less Shelton Bfast, 4 meat, SausPep, ChixAlf. Those 4, but I also found some pepperoni""",,,46.746819,-92.224558
,Short Stop Express Virginia,,"1501 S 12th Ave W, Virginia, MN 55792, USA",,Shari,2187804551,,,,"Go every other week. Stop in when you go to Super One that's near. Shari is manager, go in the morning and talk w her. Let a clerk or Shari check their freezer to see if they need Tielke subs (they sell slow, so it's not often that they need). Also check open air cooler for Meat Sticks and meat n cheese packets. Sell about 4 of each as they move very slow.",,,47.5105322,-92.5525439
,Woodland Short Stop,,"4001 Woodland Ave, Duluth, MN 55803, USA",,,,,,,"Slow, but go every week. 3 retail facings of Stokke pizzas and meat sticks, and meat n cheese packets in open air cooloer.Angie is manager",,,46.850117,-92.081965
,Simek's Farm,,"8997 Arkola Rd, Cotton, MN 55724, USA",,,,,,,"In Kelsey MN, not Cotton technically Billy will get a request from them, they order very rarely",,,47.16900421404604,-92.50672635937902
,South Ridge School,,"8162 Swan Lake Rd, Saginaw, MN 55779, USA",,Adam Kubat,2183901369,,,,"Adam will text you when he needs an order - usually a stack of Stokke Pepperoni Sausage pizzas. Just leave the stack of pizzas next to the man door of freezer in the Shelton shop and Adam will pick them up there. Print an invoice and tuck it in the stack of pizzas for him, and also send him a digital copy of invoice to make sure he gets it. Include Billy in text conversations with Adam so that Billy knows when Adam is coming. Security cameras will trigger when Adam shows up and Billy needs to know who is walking into the shop freezer.",,,46.965237450000004,-92.54727849222411
,Speedway Hermantown,44610,"5601 Miller Trunk Hwy, Duluth, MN 55811, USA",218 729-5084,Kayli,218 833-3540,,,,"Slow, go every two weeks. Kayli is manager. Tielke subs (ask what kinds they want), meat sticks and meat n cheese packets. Tielke subs move fairly okay, pizzas move very slow so load shelves very light and credit freezer burnt. Meat sticks seem to move okay so sell them about a dozen of each kind, but keep a close eye on it. Scan everythign  before stocking. In summer you might want to go every week, or if you think meat sticks might sell, go every week and check on them.",,,46.849821,-92.271102
,Speedway University,44616,"1704 Woodland Ave, Duluth, MN 55803, USA",,,,,,,"Slow, go every two weeks. Take out a lot of freezer burnt pizza, so stock it lightly.",,,46.8223445,-92.0736297
,Super One Lakeside,455,"5928 E Superior St, Duluth, MN 55804, USA",,,,,,,,,,46.83807007290056,-92.01023545761542
,Super One Plaza,457,"15 S 13th Ave E, Duluth, MN 55802, USA",,,,,,,,,,46.7984628,-92.0828067
,Super One East Superior,577,"2202 E 2nd St, Superior, WI 54880, USA",,,,,,,,,,46.70513965,-92.04846258251769
,Super One Virginia,509,"1111 17th St S, Virginia, MN 55792, USA",,,,,,,,,,47.5089772700272,-92.55062159369687
,Super One Virginia North,459,"601 4th St N, Virginia, MN 55792, USA",,,,,,,,,,47.52776445000001,-92.54293286970426
,Twig Hockey,,"1023 Twig Blvd, Saginaw, MN 55779, USA",,,,,,,Only need to go if Billy sends you a text from them,,,46.8591081,-92.4443566
,Jubilee Chisholm,,"130 1st St SW, Chisholm, MN 55719",,,,,,,"Get check or cash!!! Slow, only go every other week, stock it lightly. Just Stokke's pizza. Credit out the freezer burnt and keep it looking fresh. No need to scan, just stock freezer, then get signature from cashier and they will pay you (usually cash). You will print an invoice for them and they are supposed to take the invoice and staple or paper clip it together with their receipt that they print - so remind them of this if they dont do that when you give them the invoice.",,,47.488193232257274,-92.88088236661945
,Pauls Place,321,"4620 Rice Lake Dam Road, Duluth MN 55803",,,3202985074,,,,"Not a store, only used for testing and other purposes",,,46.91041663657766,-92.16360444598483
,Sullivans,,"1206 E 25th Street, Hibbing MN 55746",,Tom,2189662661,,,,"No longer delivering to him, he wasn't paying Billy",,,47.420778674981825,-92.92785359472013
,Dale Hermantown Football coach,,"4335 Hawk Cir Dr, Hermantown, MN 55811",,Dale,218 349-4222,,,,"Dale is Billy's uncle, he will text you with orders during school season. You will deliver either through the schools main doors and then to the left there is a concession stand, or else outside at the football field concession stand. Ask Dale where he wants you to deliver. He will instruct you where to go and who (if anyone) will be there to meet you. Communicate with him when you will arrive and you two can figure it all out.",,,46.82520495,-92.24257552060988
,Midway Fuels,,"5691 US-2, Duluth, MN 55810, USA",,,,Randy,,,"Ask Randy what he wants for Tielke subs, check the pizzas yourself. Pizzas move very slow.",,,46.74083,-92.151758
,Heritage Hockey Arena,,"120 South 30th Avenue West, Duluth, MN 55806",,,,Barb LeGarde,218 390-3080,,"Barb should text you when she needs an order, otherwise Billy will text you. Communicate with Barb when a good time is to deliver. Make sure you communicate because it has odd hours, and there are times when it is very busy and they don't want you delivering when it's busy.",,,46.757786,-92.133627
,Wild Experience Hunting Preserve,,"6964 Hwy 29, Meadowlands, MN 55765, USA",,John Durovec,2183489025,Dar Durovec,2183487048,,"Text John and Dar each week during pheasant hunting (Fall through January). They take mostly Shelton Breakfast pizza, some other flavors, and sometimes meat sticks. You can also sell to other people there as well, so be friendly and let them all know what you got - be a salesman. Stop by there when you are passing through Floodwood (Floodwood Lucky Seven, etc.).",,,47.016204653286,-92.77443911980416
,218 Supply (pizza ovens) or Rabes Supply,,"3923 1st Ave, Hibbing, MN 55746",218 262-2234,Jesse,218 969-2477,,,,"Not a customer. Where we get our pizza ovens. Text Jesse in advance when you need ovens (I always have two on hand so we are never out), then he will text you the following week when they arrive for pickup. The store is directly behind Lucky Seven Hibbing Y",,,47.40294223548204,-92.94126761358933
